generic,brand,category,categoryUr,dosageForm,strength,prescription,usesEn,usesUr,sideEn,sideUr,warningEn,warningUr,contraindicationsEn,contraindicationsUr,interactionsEn,interactionsUr,pregnancyEn,pregnancyUr,pediatricEn,pediatricUr,drapRegistrationNo,marketStatus,sourceStatus
Loratadine,,Allergy,الرجی,Tablet/Syrup,,False,Allergic rhinitis; urticaria,الرجک نزلہ؛ چھپاکی,Headache; mild drowsiness; dry mouth,سر درد؛ ہلکی غنودگی؛ منہ کی خشکی,Follow product directions and review persistent symptoms.,product directions پر عمل کریں؛ مسلسل symptoms میں review کروائیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Fexofenadine,,Allergy,الرجی,Tablet/Suspension,,False,Allergic rhinitis; urticaria,الرجک نزلہ؛ چھپاکی,Headache; nausea; mild dizziness,سر درد؛ متلی؛ ہلکا چکر,Use according to product instructions; check interacting medicines.,product instructions کے مطابق استعمال؛ interacting medicines چیک کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Fluconazole,,Antifungal,فنگل انفیکشن,Capsule/Tablet/Injection,,True,Selected fungal infections,منتخب fungal infections,Nausea; headache; liver enzyme elevation; drug interactions,متلی؛ سر درد؛ liver enzymes میں اضافہ؛ drug interactions,Review interactions and liver risk in prolonged/systemic therapy.,طویل/systemic therapy میں interactions اور liver risk کا جائزہ لیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Clotrimazole,,Antifungal,فنگل انفیکشن,Cream/Vaginal preparation,,False,Topical fungal skin infections; selected mucosal infections,جلد کے fungal infections؛ بعض mucosal infections,Local irritation; burning,مقامی جلن؛ burning,"For topical use, follow duration on the product label.",topical استعمال میں label پر دی گئی مدت پر عمل کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Terbinafine,,Antifungal,فنگل انفیکشن,Cream/Tablet,,True,Dermatophyte skin/nail infections,جلد/ناخن کے dermatophyte infections,GI upset; taste disturbance; liver injury risk,معدے کی خرابی؛ taste میں تبدیلی؛ liver injury کا خطرہ,Systemic use may require liver-risk assessment.,systemic استعمال میں liver risk assessment کی ضرورت ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Doxycycline,,Antibiotics,اینٹی بایوٹکس,Capsule/Tablet,,True,Selected bacterial infections; acne,منتخب bacterial infections؛ acne,GI upset; photosensitivity; esophagitis,معدے کی خرابی؛ دھوپ سے حساسیت؛ غذائی نالی میں جلن,Use only for appropriate bacterial indications; follow administration instructions.,صرف مناسب bacterial indications میں؛ administration instructions پر عمل کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Clarithromycin,,Antibiotics,اینٹی بایوٹکس,Tablet/Suspension,,True,Selected bacterial respiratory/other infections,منتخب bacterial respiratory/دیگر infections,Nausea; diarrhea; taste disturbance; QT prolongation/interactions,متلی؛ اسہال؛ ذائقے میں تبدیلی؛ QT prolongation/interactions,Review drug interactions and indication carefully.,drug interactions اور indication کا احتیاط سے جائزہ لیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Cefixime,,Antibiotics,اینٹی بایوٹکس,Tablet/Suspension,,True,Selected bacterial infections,منتخب bacterial infections,Diarrhea; nausea; rash,اسہال؛ متلی؛ rash,Use only when clinically indicated; antibiotic stewardship matters.,صرف clinical indication پر؛ antibiotic stewardship اہم ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Cefuroxime,,Antibiotics,اینٹی بایوٹکس,Tablet/Injection,,True,Selected bacterial infections,منتخب bacterial infections,Diarrhea; nausea; rash,اسہال؛ متلی؛ rash,Complete the prescribed course unless the prescriber changes it.,prescribed course مکمل کریں جب تک prescriber تبدیل نہ کرے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Ceftriaxone,,Antibiotics,اینٹی بایوٹکس,Injection,,True,Serious selected bacterial infections,سنگین منتخب bacterial infections,Injection-site reactions; diarrhea; biliary complications,injection-site reactions؛ اسہال؛ biliary complications,Injection/IV/IM use should be by qualified healthcare professionals.,Injection/IV/IM استعمال qualified healthcare professional کے ذریعے ہونا چاہیے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Meropenem,,Antibiotics,اینٹی بایوٹکس,Injection,,True,Serious susceptible bacterial infections,سنگین susceptible bacterial infections,Diarrhea; rash; seizures risk in predisposed patients,اسہال؛ rash؛ predisposed patients میں seizures کا خطرہ,Hospital/qualified-prescriber use; antimicrobial stewardship is essential.,hospital/qualified prescriber use؛ antimicrobial stewardship ضروری ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Lisinopril,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Hypertension; heart failure,بلڈ پریشر؛ heart failure,Cough; dizziness; increased potassium; angioedema,کھانسی؛ چکر؛ potassium میں اضافہ؛ angioedema,Avoid in pregnancy; monitor renal function/potassium when appropriate.,حمل میں استعمال نہ کریں؛ مناسب صورت میں renal function/potassium مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Hydrochlorothiazide,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Hypertension; edema,بلڈ پریشر؛ سوجن,Electrolyte disturbances; dehydration; photosensitivity,electrolyte disturbances؛ پانی کی کمی؛ photosensitivity,Monitor electrolytes when clinically appropriate.,مناسب صورت میں electrolytes مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Spironolactone,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Selected heart failure; edema; hyperaldosteronism,منتخب heart failure؛ edema؛ hyperaldosteronism,High potassium; breast tenderness; menstrual changes,potassium زیادہ ہونا؛ breast tenderness؛ ماہواری میں تبدیلی,Potassium and kidney function monitoring may be required.,potassium اور kidney function monitoring کی ضرورت ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Metformin,,Diabetes,ذیابیطس,Tablet,,True,Type 2 diabetes; selected metabolic indications,Type 2 diabetes؛ بعض metabolic indications,GI upset; diarrhea; vitamin B12 reduction; rare lactic acidosis,معدے کی خرابی؛ اسہال؛ vitamin B12 میں کمی؛ نایاب lactic acidosis,Renal function and acute illness considerations are important.,renal function اور acute illness اہم considerations ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Gliclazide,,Diabetes,ذیابیطس,Tablet,,True,Type 2 diabetes,Type 2 diabetes,Hypoglycemia; weight gain; GI upset,شوگر کم ہونا؛ وزن بڑھنا؛ معدے کی خرابی,Meal timing and glucose monitoring are important.,meal timing اور glucose monitoring اہم ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Sitagliptin,,Diabetes,ذیابیطس,Tablet,,True,Type 2 diabetes,Type 2 diabetes,Headache; GI symptoms; rare pancreatitis,سر درد؛ GI symptoms؛ نایاب pancreatitis,Dose selection may depend on kidney function.,dose selection kidney function پر depend کر سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Empagliflozin,,Diabetes,ذیابیطس,Tablet,,True,Type 2 diabetes; selected cardiovascular/renal indications,Type 2 diabetes؛ بعض cardiovascular/renal indications,Genital infections; dehydration; ketoacidosis risk,genital infections؛ پانی کی کمی؛ ketoacidosis کا خطرہ,Sick-day and perioperative considerations require professional guidance.,acute illness/surgery کے دوران professional guidance ضروری ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Insulin,,Diabetes,ذیابیطس,Injection,,True,Diabetes requiring insulin therapy,وہ diabetes جس میں insulin therapy درکار ہو,Hypoglycemia; injection-site reactions; weight gain,شوگر بہت کم ہونا؛ injection-site reactions؛ وزن بڑھنا,"Individual regimen, storage and glucose monitoring are essential.",individual regimen، storage اور glucose monitoring ضروری ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Diclofenac,,Pain & Fever,درد اور بخار,Tablet/Gel/Injection,,True,Pain and inflammation,درد اور سوزش,GI irritation/ulcer; kidney effects; cardiovascular risk,معدے کی جلن/السر؛ kidney effects؛ cardiovascular risk,Use the lowest effective exposure; avoid duplicate NSAIDs.,مؤثر کم سے کم exposure؛ دوسرے NSAIDs کے ساتھ duplication سے بچیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Naproxen,,Pain & Fever,درد اور بخار,Tablet,,True,Pain and inflammation,درد اور سوزش,GI irritation/ulcer; kidney effects; cardiovascular risk,معدے کی جلن/السر؛ kidney effects؛ cardiovascular risk,Avoid combining with other NSAIDs unless specifically directed.,دوسرے NSAIDs کے ساتھ combination سے بچیں جب تک خاص ہدایت نہ ہو۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Ketorolac,,Pain & Fever,درد اور بخار,Tablet/Injection,,True,Short-term moderate to severe pain,مختصر مدت کا درمیانے سے شدید درد,GI bleeding; kidney injury; dizziness,GI bleeding؛ kidney injury؛ چکر,Short-term use only under appropriate professional direction.,مناسب professional direction کے تحت short-term استعمال۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Tramadol,,Pain & Fever,درد اور بخار,Capsule/Tablet/Injection,,True,Moderate pain in selected patients,منتخب مریضوں میں درمیانہ درد,Drowsiness; nausea; constipation; seizures/serotonin syndrome risk,غنودگی؛ متلی؛ قبض؛ seizures/serotonin syndrome کا خطرہ,Opioid medicine; assess interactions and dependence risk.,opioid medicine؛ interactions اور dependence risk کا جائزہ ضروری ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Hydrocortisone,,Dermatology,جلد,Cream/Ointment,,False,Inflammatory skin conditions; selected steroid indications,سوزش والی جلدی بیماریاں؛ منتخب steroid indications,Skin thinning; irritation; systemic effects with extensive use,جلد پتلی ہونا؛ جلن؛ وسیع استعمال میں systemic effects,Use topical steroids appropriately and avoid prolonged unsupervised use.,topical steroid مناسب طریقے سے استعمال کریں؛ طویل خود سے استعمال سے بچیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Mupirocin,,Dermatology,جلد,Ointment/Cream,,True,Selected bacterial skin infections,منتخب bacterial skin infections,Local burning; irritation,مقامی burning؛ جلن,Use for appropriate bacterial indications and duration.,مناسب bacterial indication اور duration کے لیے استعمال کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Permethrin,,Dermatology,جلد,Cream/Lotion,,False,Scabies; lice in appropriate formulations,Scabies؛ مناسب formulation میں lice,Skin irritation; itching,جلد کی جلن؛ خارش,Treat close contacts/environment when appropriate for scabies control.,scabies میں مناسب صورت میں close contacts/environment بھی manage کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Tamsulosin,,Urology,یورولوجی,Capsule/Tablet,,True,Lower urinary tract symptoms due to benign prostatic enlargement,BPH سے متعلق urinary symptoms,Dizziness; orthostatic hypotension; ejaculation changes,چکر؛ کھڑے ہونے پر بلڈ پریشر کم؛ ejaculation میں تبدیلی,Take as directed; caution with dizziness and blood-pressure-lowering medicines.,ہدایت کے مطابق لیں؛ چکر اور BP-lowering medicines کے ساتھ احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Finasteride,,Urology,یورولوجی,Tablet,,True,Benign prostatic enlargement; male pattern hair loss,BPH؛ مردانہ pattern hair loss,Sexual dysfunction; mood changes,جنسی dysfunction؛ mood میں تبدیلی,Indication-specific counseling is important; handling precautions apply to certain tablets.,indication-specific counseling ضروری؛ بعض tablets کے handling precautions ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Pantoprazole,,Gastrointestinal,معدہ اور آنتیں,Tablet/Injection,,True,GERD; acid-related disorders,GERD؛ تیزابیت سے متعلق بیماریاں,Headache; diarrhea; abdominal pain,سر درد؛ اسہال؛ پیٹ درد,Long-term use should have a clear indication and periodic review.,طویل استعمال کی واضح indication اور periodic review ہونی چاہیے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Famotidine,,Gastrointestinal,معدہ اور آنتیں,Tablet/Injection,,True,Acid-related disorders; GERD,تیزابیت سے متعلق بیماریاں؛ GERD,Headache; dizziness; GI symptoms,سر درد؛ چکر؛ GI symptoms,Review kidney function for dosing in appropriate patients.,مناسب مریضوں میں kidney function کو مدنظر رکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
